Iter Residual
0 1.000e+00
1 9.775e-01
2 9.494e-01
3 9.032e-01
4 8.565e-01
5 8.180e-01
6 7.835e-01
7 7.479e-01
8 7.165e-01
9 6.833e-01
10 6.550e-01
11 6.277e-01
12 5.964e-01
13 5.676e-01
14 5.402e-01
15 5.134e-01
16 4.918e-01
17 4.651e-01
18 4.403e-01
19 4.165e-01
20 3.961e-01
21 3.758e-01
22 3.560e-01
23 3.349e-01
24 3.223e-01
25 3.081e-01
26 2.972e-01
27 2.773e-01
28 2.625e-01
29 2.433e-01
30 2.301e-01
31 2.168e-01
32 2.096e-01
33 1.980e-01
34 1.852e-01
35 1.777e-01
36 1.682e-01
37 1.596e-01
38 1.501e-01
39 1.413e-01
40 1.366e-01
41 1.323e-01
42 1.238e-01
43 1.163e-01
44 1.128e-01
45 1.075e-01
46 1.038e-01
47 1.017e-01
48 9.612e-02
49 9.203e-02
50 9.028e-02
51 8.756e-02
52 8.125e-02
53 7.927e-02
54 7.534e-02
55 7.023e-02
56 6.894e-02
57 6.525e-02
58 6.100e-02
59 5.834e-02
60 5.642e-02
61 5.467e-02
62 5.197e-02
63 5.083e-02
64 4.797e-02
65 4.618e-02
66 4.483e-02
67 4.082e-02
68 3.990e-02
69 3.713e-02
70 3.669e-02
71 3.537e-02
72 3.377e-02
73 3.202e-02
74 3.091e-02
75 3.002e-02
76 2.970e-02
77 2.885e-02
78 2.794e-02
79 2.715e-02
80 2.685e-02
81 2.565e-02
82 2.517e-02
83 2.388e-02
84 2.263e-02
85 2.161e-02
86 2.134e-02
87 2.068e-02
88 2.026e-02
89 1.942e-02
90 1.848e-02
91 1.795e-02
92 1.737e-02
93 1.674e-02
94 1.632e-02
95 1.607e-02
96 1.598e-02
97 1.553e-02
98 1.526e-02
99 1.535e-02
100 1.452e-02
