Iter Residual Time
0 1.000e+00 0
1 9.775e-01 0.0
2 9.494e-01 274.90000000000003
3 9.032e-01 543.4000000000001
4 8.565e-01 814.6000000000001
5 8.180e-01 1095.7
6 7.835e-01 1372.5
7 7.479e-01 1653.1000000000001
8 7.165e-01 1927.3999999999999
9 6.833e-01 2200.0
10 6.550e-01 2470.2
11 6.277e-01 2745.2
12 5.964e-01 3015.1
13 5.676e-01 3287.3999999999996
14 5.402e-01 3562.1
15 5.134e-01 3834.0
16 4.918e-01 4106.8
17 4.651e-01 4377.599999999999
18 4.403e-01 4649.7
19 4.165e-01 4920.8
20 3.961e-01 5193.8
21 3.758e-01 5465.7
22 3.560e-01 5740.4
23 3.349e-01 6013.5
24 3.223e-01 6286.099999999999
25 3.081e-01 6559.4
26 2.972e-01 6831.599999999999
27 2.773e-01 7104.3
28 2.625e-01 7381.8
29 2.433e-01 7655.8
30 2.301e-01 7929.499999999999
31 2.168e-01 8204.300000000001
32 2.096e-01 8480.0
33 1.980e-01 8753.1
34 1.852e-01 9026.2
35 1.777e-01 9295.7
36 1.682e-01 9567.5
37 1.596e-01 9840.1
38 1.501e-01 10128.300000000001
39 1.413e-01 10410.6
40 1.366e-01 10695.0
41 1.323e-01 10967.800000000001
42 1.238e-01 11241.900000000001
43 1.163e-01 11515.800000000001
44 1.128e-01 11787.400000000001
45 1.075e-01 12060.800000000001
46 1.038e-01 12334.1
47 1.017e-01 12608.6
48 9.612e-02 12884.900000000001
49 9.203e-02 13170.5
50 9.028e-02 13450.7
51 8.756e-02 13729.5
52 8.125e-02 14002.2
53 7.927e-02 14273.5
54 7.534e-02 14550.1
55 7.023e-02 14822.1
56 6.894e-02 15096.5
57 6.525e-02 15371.5
58 6.100e-02 15649.300000000001
59 5.834e-02 15918.300000000001
60 5.642e-02 16193.400000000001
61 5.467e-02 16467.3
62 5.197e-02 16742.5
63 5.083e-02 17011.3
64 4.797e-02 17293.4
65 4.618e-02 17561.8
66 4.483e-02 17836.600000000002
67 4.082e-02 18110.7
68 3.990e-02 18385.100000000002
69 3.713e-02 18667.5
70 3.669e-02 18943.9
71 3.537e-02 19218.3
72 3.377e-02 19486.600000000002
73 3.202e-02 19761.5
74 3.091e-02 20034.8
75 3.002e-02 20310.5
76 2.970e-02 20581.3
77 2.885e-02 20850.5
78 2.794e-02 21118.3
79 2.715e-02 21391.7
80 2.685e-02 21668.5
81 2.565e-02 21938.600000000002
82 2.517e-02 22213.5
83 2.388e-02 22495.7
84 2.263e-02 22780.100000000002
85 2.161e-02 23060.7
86 2.134e-02 23329.600000000002
87 2.068e-02 23610.100000000002
88 2.026e-02 23886.3
89 1.942e-02 24154.8
90 1.848e-02 24439.100000000002
91 1.795e-02 24720.600000000002
92 1.737e-02 25001.600000000002
93 1.674e-02 25281.600000000002
94 1.632e-02 25552.9
95 1.607e-02 25828.4
96 1.598e-02 26101.7
97 1.553e-02 26382.3
98 1.526e-02 26713.2
99 1.535e-02 27049.2
100 1.452e-02 27448.100000000002
