Iteration Residual
0 1.000000e+00
1 1.342022e-01
2 3.611081e-02
3 1.376322e-02
4 7.497681e-03
5 5.179542e-03
6 3.733001e-03
7 2.547615e-03
8 1.851421e-03
9 1.449427e-03
10 1.179769e-03
11 9.805867e-04
12 7.806039e-04
13 5.813570e-04
14 4.157056e-04
15 3.162802e-04
16 2.558944e-04
17 2.071378e-04
18 1.674357e-04
19 1.287862e-04
20 9.287711e-05
21 6.286383e-05
22 4.371464e-05
23 3.292312e-05
24 2.447450e-05
25 1.854182e-05
26 1.497384e-05
27 1.196727e-05
28 8.401378e-06
29 4.948009e-06
30 3.007657e-06
31 2.167098e-06
32 1.601504e-06
33 1.077825e-06
34 6.397624e-07
