Iter Residual Time
0 1.000e+00 0
1 9.282e-01 0.0
2 9.022e-01 693.1999999999998
3 8.663e-01 1331.1000000000004
4 8.354e-01 1974.1999999999998
5 8.087e-01 2617.5
6 7.853e-01 3258.2000000000007
7 7.646e-01 3902.2999999999993
8 7.462e-01 4546.5
9 7.297e-01 5189.5
10 7.149e-01 5836.5
11 7.011e-01 6482.9
12 6.885e-01 7128.799999999999
13 6.768e-01 7774.9
14 6.656e-01 8417.8
15 6.551e-01 9061.3
16 6.452e-01 9699.2
17 6.356e-01 10329.6
18 6.260e-01 10967.400000000001
19 6.166e-01 11607.099999999999
20 6.077e-01 12242.400000000001
21 6.000e-01 12878.3
22 5.914e-01 13516.099999999999
23 5.848e-01 14148.400000000001
24 5.788e-01 14786.599999999999
25 5.721e-01 15425.2
26 5.668e-01 16069.900000000001
27 5.618e-01 16710.0
28 5.570e-01 17355.7
29 5.524e-01 17994.9
30 5.475e-01 18628.4
31 5.425e-01 19263.8
32 5.368e-01 19896.5
33 5.324e-01 20524.7
34 5.275e-01 21154.7
35 5.237e-01 21796.4
36 5.200e-01 22428.4
37 5.139e-01 23061.6
38 5.095e-01 23690.8
39 5.057e-01 24324.5
40 5.011e-01 24993.5
41 4.964e-01 25621.4
42 4.931e-01 26255.9
43 4.893e-01 26885.5
44 4.828e-01 27527.4
45 4.802e-01 28155.9
46 4.754e-01 28789.800000000003
47 4.720e-01 29423.6
48 4.676e-01 30061.1
49 4.632e-01 30690.800000000003
50 4.564e-01 31319.800000000003
51 4.521e-01 31951.9
52 4.493e-01 32589.0
53 4.445e-01 33234.5
54 4.401e-01 33869.0
55 4.372e-01 34495.9
56 4.341e-01 35132.0
57 4.313e-01 35770.2
58 4.297e-01 36400.5
59 4.275e-01 37034.9
60 4.252e-01 37665.7
61 4.239e-01 38294.1
62 4.207e-01 38923.7
63 4.170e-01 39550.4
64 4.118e-01 40182.0
65 4.063e-01 40816.2
66 4.051e-01 41444.3
67 4.020e-01 42085.6
68 4.001e-01 42708.2
69 3.949e-01 43347.6
70 3.939e-01 43975.6
71 3.882e-01 44605.3
72 3.875e-01 45235.2
73 3.867e-01 45864.7
74 3.823e-01 46494.3
75 3.770e-01 47125.7
76 3.723e-01 47757.5
77 3.718e-01 48384.2
78 3.628e-01 49016.3
79 3.599e-01 49648.9
80 3.545e-01 50276.6
81 3.488e-01 50904.4
82 3.435e-01 51534.9
83 3.345e-01 52166.4
84 3.296e-01 52791.1
85 3.253e-01 53430.9
86 3.165e-01 54061.3
87 3.149e-01 54691.4
