Iter Residual
0 1.000e+00
1 9.800e-01
2 9.422e-01
3 9.062e-01
4 8.841e-01
5 8.595e-01
6 8.187e-01
7 7.808e-01
8 7.457e-01
9 7.126e-01
10 6.766e-01
11 6.442e-01
12 6.133e-01
13 5.843e-01
14 5.583e-01
15 5.289e-01
16 5.036e-01
17 4.764e-01
18 4.507e-01
19 4.281e-01
20 4.044e-01
21 3.802e-01
22 3.601e-01
23 3.384e-01
24 3.187e-01
25 3.068e-01
26 2.886e-01
27 2.808e-01
28 2.628e-01
29 2.498e-01
30 2.358e-01
31 2.235e-01
32 2.090e-01
33 1.958e-01
34 1.877e-01
35 1.787e-01
36 1.671e-01
37 1.587e-01
38 1.512e-01
39 1.458e-01
40 1.359e-01
41 1.272e-01
42 1.193e-01
43 1.149e-01
44 1.100e-01
45 1.039e-01
46 9.974e-02
47 9.644e-02
48 9.099e-02
49 8.642e-02
50 8.245e-02
51 7.855e-02
52 7.597e-02
53 7.335e-02
54 6.872e-02
55 6.520e-02
56 6.139e-02
57 5.905e-02
58 5.805e-02
59 5.546e-02
60 5.285e-02
61 5.211e-02
62 4.949e-02
63 4.779e-02
64 4.659e-02
65 4.530e-02
66 4.204e-02
67 4.154e-02
68 4.011e-02
69 3.916e-02
70 3.737e-02
71 3.606e-02
72 3.462e-02
73 3.384e-02
74 3.228e-02
75 3.125e-02
76 2.969e-02
77 2.887e-02
78 2.806e-02
79 2.750e-02
80 2.606e-02
81 2.475e-02
82 2.420e-02
83 2.360e-02
84 2.247e-02
85 2.173e-02
86 2.131e-02
87 2.085e-02
88 1.918e-02
89 1.885e-02
90 1.861e-02
91 1.726e-02
92 1.669e-02
93 1.616e-02
94 1.561e-02
95 1.539e-02
96 1.376e-02
97 1.354e-02
98 1.325e-02
99 1.285e-02
100 1.258e-02
