Iter Residual Time
0 1.000e+00 0
1 9.728e-01 0.0
2 9.380e-01 258.59999999999997
3 8.921e-01 515.8
4 8.479e-01 772.0
5 8.146e-01 1028.0
6 7.821e-01 1283.8
7 7.496e-01 1540.5
8 7.193e-01 1799.1000000000001
9 6.844e-01 2058.3
10 6.497e-01 2312.6000000000004
11 6.195e-01 2569.2000000000003
12 5.886e-01 2823.6000000000004
13 5.586e-01 3078.0
14 5.300e-01 3332.9
15 5.036e-01 3591.1000000000004
16 4.764e-01 3847.7
17 4.499e-01 4102.5
18 4.254e-01 4356.8
19 4.042e-01 4613.3
20 3.837e-01 4867.8
21 3.620e-01 5121.900000000001
22 3.403e-01 5375.3
23 3.204e-01 5631.1
24 3.034e-01 5886.7
25 2.939e-01 6142.0
26 2.762e-01 6399.8
27 2.602e-01 6654.900000000001
28 2.492e-01 6908.2
29 2.342e-01 7164.0
30 2.274e-01 7420.2
31 2.114e-01 7675.0
32 1.980e-01 7930.2
33 1.855e-01 8184.900000000001
34 1.774e-01 8440.3
35 1.685e-01 8696.699999999999
36 1.603e-01 8951.4
37 1.509e-01 9204.4
38 1.425e-01 9460.0
39 1.353e-01 9715.599999999999
40 1.302e-01 9968.699999999999
41 1.236e-01 10222.199999999999
42 1.201e-01 10476.599999999999
43 1.135e-01 10731.8
44 1.061e-01 10988.0
45 1.037e-01 11243.9
46 9.749e-02 11500.599999999999
47 9.363e-02 11758.4
48 8.748e-02 12016.199999999999
49 8.501e-02 12273.3
50 8.035e-02 12528.9
51 7.425e-02 12783.5
52 6.977e-02 13039.4
53 6.742e-02 13294.0
54 6.276e-02 13548.3
55 6.107e-02 13803.599999999999
56 5.858e-02 14059.699999999999
57 5.575e-02 14315.199999999999
58 5.362e-02 14571.4
59 5.206e-02 14828.199999999999
60 4.978e-02 15084.9
61 4.779e-02 15344.8
62 4.565e-02 15600.199999999999
63 4.394e-02 15855.0
64 4.252e-02 16109.199999999999
65 4.119e-02 16362.7
66 4.001e-02 16615.899999999998
67 3.904e-02 16868.8
68 3.658e-02 17122.5
69 3.552e-02 17377.7
70 3.406e-02 17637.3
71 3.361e-02 17892.899999999998
72 3.307e-02 18148.6
73 3.240e-02 18404.0
74 3.152e-02 18658.8
75 3.067e-02 18911.5
76 3.002e-02 19168.2
77 2.912e-02 19421.899999999998
78 2.790e-02 19676.5
79 2.748e-02 19931.3
80 2.595e-02 20191.5
81 2.535e-02 20447.8
82 2.497e-02 20703.899999999998
83 2.418e-02 20962.8
84 2.368e-02 21219.2
85 2.298e-02 21473.899999999998
86 2.202e-02 21730.3
87 2.118e-02 21988.3
88 2.051e-02 22243.7
89 2.003e-02 22498.3
90 1.975e-02 22755.8
91 1.934e-02 23010.899999999998
92 1.875e-02 23268.1
93 1.836e-02 23527.5
94 1.820e-02 23782.5
95 1.783e-02 24035.2
96 1.757e-02 24290.6
97 1.711e-02 24548.0
98 1.680e-02 24803.1
99 1.663e-02 25057.7
100 1.637e-02 25317.3
