Iteration Residual
0 4.501657e+02
1 6.041323e+01
2 1.625585e+01
3 6.195731e+00
4 3.375199e+00
5 2.331652e+00
6 1.680469e+00
7 1.146849e+00
8 8.334461e-01
9 6.524822e-01
10 5.310914e-01
11 4.414265e-01
12 3.514011e-01
13 2.617070e-01
14 1.871364e-01
15 1.423785e-01
16 1.151949e-01
17 9.324633e-02
18 7.537383e-02
19 5.797514e-02
20 4.181009e-02
21 2.829914e-02
22 1.967883e-02
23 1.482086e-02
24 1.101758e-02
25 8.346892e-03
26 6.740711e-03
27 5.387254e-03
28 3.782012e-03
29 2.227424e-03
30 1.353944e-03
31 9.755531e-04
32 7.209420e-04
33 4.851999e-04
34 2.879991e-04
